FSHNG_PRT_NM,FP_ADDR_DNL,EDU_FCLTY_CNT,PBLC_FCLTY_CNT,NRB_FP_DIST
격포항,전라북도 부안군 변산면 격포항길 64-7,67,123,2.9
위도항,전라북도 부안군 위도면 위도로 30,67,123,1.4
구계항,경상북도 영덕군 남정면 구계1길 6-7,32,39,4.3
구시포항,전라북도 고창군 상하면 구시포해변길 84,63,106,8.5
구산항,경상북도 울진군 기성면 구산봉산로 126-4,,,5.4
저동항,경상북도 울릉군 울릉읍 봉래1길 19-11,,,6.6
전장포항,전라남도 신안군 임자면 전장포길 908,,,11.6
공현진항,강원도 고성군 죽왕면 공현진해변길 78-1,,,2
광암항,경상남도 창원시 마산합포구 진동면 해양관광로 164-22,,,1.6
구계항,경상북도 영덕군 남정면 구계1길 6-7,,,4.3
구산항,경상북도 울진군 기성면 구산봉산로 126-4,,,5.4
구시포항,전라북도 고창군 상하면 구시포해변길 84,,,8.5
구조라항,경상남도 거제시 일운면 구조라로 49,,,3.5
국동항,,,,
국동항,,,,
국동항,전라남도 여수시 어항단지로 24,,,1
계마항,전라남도 영광군 홍농읍 계마길 31-59,46,229,11.2
홍원항,충청남도 서천군 서면 홍원길 130-7,,,7.1
회진항,전라남도 장흥군 회진면 회진선창길 28,,,4.1
가거도항,전라남도 신안군 흑산면 가거도길 1,,,35.8
감포항,경상북도 경주시 감포읍 감포로2길 103,,,1.9
강릉항,강원도 강릉시 창해로 14번길 51-26,,,5
거진항,강원도 고성군 거진읍 거진항1길 62-3,,,3.9
격포항,전라북도 부안군 변산면 격포항길 64-7,,,2.9
계마항,전라남도 영광군 홍농읍 계마길 31-59,,,11.2
공현진항,강원도 고성군 죽왕면 공현진해변길 78-1,,,2
광암항,경상남도 창원시 마산합포구 진동면 해양관광로 164-22,,,1.6
구계항,경상북도 영덕군 남정면 구계1길 6-7,,,4.3
안마항,전라남도 영광군 낙월면 안마길 17,46,229,35.1
개야도항,전라북도 군산시 옥도면 개야도리,178,39,8
전장포항,전라남도 신안군 임자면 전장포길 908,59,3,11.6
우이도항,전라남도 신안군 도초면 우이진리길 16,59,3,2.6
모항항,충청남도 태안군 소원면 모항항길 122-42,54,13,4.3
무창포항,충청남도 보령시 웅천읍 열린바다2길 46,82,47,7
안흥항,충청남도 태안군 근흥면 안흥1길 36,54,13,9
축산항,경상북도 영덕군 축산면 축산항길 75,32,39,2.4
장고항,충청남도 당진시 석문면 장고항로 334,92,167,1.3
남당항,충청남도 홍성군 서부면 남당항로213번길 1,74,26,1.5
오천항,충청남도 보령시 오천면 소성리 700-86,82,47,9.8
외연도항,충청남도 보령시 오천면 외연도리 472-2,82,47,14
홍원항,충청남도 서천군 서면 홍원길 130-7,53,155,7.1
어청도항,전라북도 군산시 옥도면 어청도길 49-4,178,39,14.2
연도항(전북),전라북도 군산시 옥도면 연도1길 1-2,178,39,11.8
말도항,전라북도 군산시 옥도면 말도길 70,178,39,2.5
도장항,전라남도 완도군 금일읍 화목장정길 267,63,12,4.5
다대포항,부산광역시 사하구 다대로605번길 67,104,9,11.6
아야진항,강원도 고성군 토성면 아야진해변길 88,34,37,1.7
대변항,부산광역시 기장군 기장읍 기장해안로 623,68,201,1
천성항,부산광역시 강서구 가덕해안로 761,55,135,2.2
남애항,강원도 양양군 현남면 매바위길 115,36,20,4
어유정항,인천광역시 강화군 삼산면 어류정길177번길 117,60,168,2.2
소래포구항,인천광역시 남동구 장도로 67,160,39,21.3
선진포항,인천광역시 옹진군 대청면 대청로 22-2,26,33,2.8
정자항,울산광역시 북구 정자1길 60-12,85,30,5.7
방어진항,울산광역시 동구 성끝4길 1,61,29,8.9
가거도항,전라남도 신안군 흑산면 가거도길 1,59,3,35.8
진두항,인천광역시 옹진군 영흥면 내리,26,33,5.5
수품항,전라남도 진도군 의신면 수품길 67,30,10,2.5
서망항,전라남도 진도군 임회면 서망항길 50-17,30,10,6.2
서거차항,전라남도 진도군 조도면 서거차도리 210,30,10,12.5
초평항,전라남도 진도군 의신면 초사리 509-7,30,10,5.7
어란진항,전라남도 해남군 송지면 어란로 469,57,8,6.5
송도항,전라남도 신안군 지도읍 읍내리,59,3,16
마량항,전라남도 강진군 마량면 미항로 142,41,55,6.9
득암항,전라남도 완도군 약산면 득암4번길 48-7,63,12,5.6
사동항(전남),전라남도 완도군 금일읍 사동길 55-1,63,12,2.8
덕적도항,인천광역시 옹진군 덕적면 덕적북로518번길 77,26,33,5.8
궁촌항,강원도 삼척시 근덕면 궁촌해변길 142-7,62,50,3.5
장호항,강원도 삼척시 근덕면 장호항길 111,62,50,1.2
임원항,강원도 삼척시 원덕읍 임원항구로 16,62,50,2.5
삼길포항,충청남도 서산시 대산읍 삼길포1로 63,104,340,3.9
현포항,경상북도 울릉군 북면 울릉순환로 2625,16,15,2.9
저동항,경상북도 울릉군 울릉읍 봉래1길 19-11,16,15,6.6
남양항,경상북도 울릉군 서면 울릉순환로 1310,16,15,2.2
외포항,경상남도 거제시 장목면 외포5길 62,126,91,1.3
